[Test] Rodando loop por 3600s...
  step=148000, err=1.0722, surprise=3.344
  step=148500, err=0.9089, surprise=3.376
  step=149000, err=0.8292, surprise=1.178
  step=149500, err=1.0319, surprise=3.293
  step=150000, err=0.0917, surprise=1.000
  step=150500, err=1.0681, surprise=3.490
  step=151000, err=0.2043, surprise=1.000
  step=151500, err=1.0115, surprise=3.220
  step=152000, err=0.4251, surprise=1.000
  step=152500, err=0.2820, surprise=1.000
  step=153000, err=1.0876, surprise=3.672
  step=153500, err=0.9557, surprise=3.684
  step=154000, err=0.6174, surprise=1.000
  step=154500, err=1.0413, surprise=3.308
  step=155000, err=0.0510, surprise=1.000
  step=155500, err=0.9530, surprise=2.975
  step=156000, err=1.0160, surprise=3.155
  step=156500, err=0.7390, surprise=1.481
  step=157000, err=1.0727, surprise=3.424
  step=157500, err=0.0912, surprise=1.000
  step=158000, err=0.2002, surprise=1.000
  step=158500, err=1.0881, surprise=3.558
  step=159000, err=1.0473, surprise=3.355
  step=159500, err=0.9539, surprise=3.284
  step=160000, err=0.4227, surprise=1.000
  step=160500, err=0.6164, surprise=3.390
  step=161000, err=0.1490, surprise=1.000
  step=161500, err=0.6064, surprise=1.000
  step=162000, err=1.0933, surprise=3.450
  step=162500, err=0.2810, surprise=1.000
  step=163000, err=0.2290, surprise=1.000
  step=163500, err=0.6903, surprise=1.447
  step=164000, err=0.4736, surprise=1.000
  step=164500, err=0.8775, surprise=2.909
  step=165000, err=0.3925, surprise=1.000
  step=165500, err=0.8186, surprise=3.864
  step=166000, err=1.1072, surprise=3.536
  step=166500, err=0.9441, surprise=2.886
  step=167000, err=0.7491, surprise=1.421
  step=167500, err=0.0789, surprise=1.000
  step=168000, err=1.0851, surprise=3.437
  step=168500, err=0.7762, surprise=1.726
  step=169000, err=0.2153, surprise=1.000
  step=169500, err=0.0175, surprise=1.000
  step=170000, err=0.7931, surprise=1.861
  step=170500, err=0.9914, surprise=3.388
  step=171000, err=0.5229, surprise=1.000
  step=171500, err=0.8084, surprise=1.929
  step=172000, err=0.6482, surprise=1.000
  step=172500, err=0.2806, surprise=1.000
  step=173000, err=1.0704, surprise=3.366
  step=173500, err=0.0061, surprise=1.000
  step=174000, err=1.0910, surprise=3.457
